"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Norway","2023","Fish; live, ornamental, freshwater","Import","1789523.604","13048","Weight in kilograms","13048"
"Norway","2023","Fish; live, ornamental, other than freshwater","Import","121555.375","2191","Weight in kilograms","2191"
"Norway","2023","Fish; live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","Export","4580044.533","333378","Weight in kilograms","333378"
"Norway","2023","Fish; live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","Import","6826.204","206","Weight in kilograms","206"
"Norway","2023","Fish; live, southern bluefin tunas (Thunnus maccoyii)","Export","8770.745","445","Weight in kilograms","445"
"Norway","2023","Fish; live, n.e.c. in heading 0301","Export","6777845.511","392213","Weight in kilograms","392213"
"Norway","2023","Fish; live, n.e.c. in heading 0301","Import","2015675.018","56424","Weight in kilograms","56424"
"Norway","2023","Fish; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9","Export","329978305.412","40202413","Weight in kilograms","40202413"
"Norway","2023","Fish; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9","Import","1302093.684","194401","Weight in kilograms","194401"
"Norway","2023","Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9","Export","225460.821","51372","Weight in kilograms","51372"
"Norway","2023","Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Export","8602729994.984","984133868","Weight in kilograms","984133868"
