"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Norway","2011","Live ornamental fish","Import","4095670","81358","Weight in kilograms","81358"
"Norway","2011","Fish; live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","Import","54951","936","Weight in kilograms","936"
"Norway","2011","Fish; live, n.e.c. in heading 0301","Export","4602556","173088","Weight in kilograms","173088"
"Norway","2011","Fish; live, n.e.c. in heading 0301","Import","1382599","51624","Weight in kilograms","51624"
"Norway","2011","Fish; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9","Export","169164004","27130334","Weight in kilograms","27130334"
"Norway","2011","Fish; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9","Import","908669","118951","Weight in kilograms","118951"
"Norway","2011","Pacific salmon/Atlantic salmon/Danube salmon [see list of conventions for species incld.], fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)","Export","3909244695","685384761","Weight in kilograms","685384761"
"Norway","2011","Pacific salmon/Atlantic salmon/Danube salmon [see list of conventions for species incld.], fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)","Import","326719","54394","Weight in kilograms","54394"
"Norway","2011","Fish; fresh or chilled, salmonidae, n.e.c. in item no. 0302.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Export","126682","12064","Weight in kilograms","12064"
"Norway","2011","Fish; fresh or chilled, salmonidae, n.e.c. in item no. 0302.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","31966","3061","Weight in kilograms","3061"
"Norway","2011","Fish; fresh or chilled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Export","28897716","2694593","Weight in kilograms","2694593"
"Norway","2011","Fish; fresh or chilled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","11468","767","Weight in kilograms","767"
"Norway","2011","Fish; fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Export","2895649","1408886","Weight in kilograms","1408886"
"Norway","2011","Fish; fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","60988","8575","Weight in kilograms","8575"
"Norway","2011","Fish; fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Export","52235","2779","Weight in kilograms","2779"
"Norway","2011","Fish; fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","32783","1129","Weight in kilograms","1129"
"Norway","2011","Fish; fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Export","3293220","315487","Weight in kilograms","315487"
"Norway","2011","Fish; fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","23459","1935","Weight in kilograms","1935"
"Norway","2011","Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Export","14144","608","Weight in kilograms","608"
"Norway","2011","Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","66613","2915","Weight in kilograms","2915"
"Norway","2011","Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","8384","244","Weight in kilograms","244"
"Norway","2011","Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","2594","68","Weight in kilograms","68"
"Norway","2011","Herrings (Clupea harengus/pallasii), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)","Export","21667521","20519225","Weight in kilograms","20519225"
"Norway","2011","Herrings (Clupea harengus/pallasii), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)","Import","23516953","27041459","Weight in kilograms","27041459"
"Norway","2011","Cod (Gadus morhua/ogac/macrocephalus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)","Export","133619322","29381680","Weight in kilograms","29381680"
"Norway","2011","Cod (Gadus morhua/ogac/macrocephalus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)","Import","16395","2884","Weight in kilograms","2884"
"Norway","2011","Sardines (Sardina pilchardus, Sardinops spp.)/sardinella (Sardinella spp.)/brisling/sprats (Sprattus sprattus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers/roes)","Export","543099","670769","Weight in kilograms","670769"
"Norway","2011","Haddock (Melanogrammus aeglefinus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)","Export","46849790","21675523","Weight in kilograms","21675523"
"Norway","2011","Haddock (Melanogrammus aeglefinus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)","Import","31248","14575","Weight in kilograms","14575"
"Norway","2011","Coalfish (Pollachius virens), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)","Export","15334310","6524239","Weight in kilograms","6524239"
"Norway","2011","Coalfish (Pollachius virens), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)","Import","73865","58927","Weight in kilograms","58927"
"Norway","2011","Mackerel (Scomber scombrus/australasicus/japonicus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)","Export","26686555","11330920","Weight in kilograms","11330920"
"Norway","2011","Mackerel (Scomber scombrus/australasicus/japonicus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)","Import","157640971","81420623","Weight in kilograms","81420623"
"Norway","2011","Dogfish & other sharks, fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)","Export","578911","220889","Weight in kilograms","220889"
"Norway","2011","Eels (Anguilla spp.), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)","Import","286","24","Weight in kilograms","24"
"Norway","2011","Fish,n.e.s. in 03.02, fresh/chilled(excl. fillets/other fish meat of 03.04/livers & roes).","Export","79544334","95503608","Weight in kilograms","95503608"
"Norway","2011","Fish,n.e.s. in 03.02, fresh/chilled(excl. fillets/other fish meat of 03.04/livers & roes).","Import","2114582","938129","Weight in kilograms","938129"
"Norway","2011","Fish livers & roes, fresh/chilled","Export","4595120","1361673","Weight in kilograms","1361673"
"Norway","2011","Fish livers & roes, fresh/chilled","Import","101188","3775","Weight in kilograms","3775"
"Norway","2011","Trout (Salmo trutta, Oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Export","74534439","11031183","Weight in kilograms","11031183"
"Norway","2011","Trout (Salmo trutta, Oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Import","341520","60565","Weight in kilograms","60565"
"Norway","2011","Atlantic salmon (Salmo salar) & Danube salmon (Hucho hucho), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Export","276915228","50904329","Weight in kilograms","50904329"
"Norway","2011","Atlantic salmon (Salmo salar) & Danube salmon (Hucho hucho), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Import","263195","40886","Weight in kilograms","40886"
"Norway","2011","Fish; frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Export","255080","213818","Weight in kilograms","213818"
"Norway","2011","Fish; frozen, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Export","53277698","8579523","Weight in kilograms","8579523"
"Norway","2011","Fish; frozen, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","1835753","327191","Weight in kilograms","327191"
"Norway","2011","Fish; frozen, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Export","2887","2604","Weight in kilograms","2604"
"Norway","2011","Fish; frozen, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","7247","2321","Weight in kilograms","2321"
"Norway","2011","Fish; frozen, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","13649","610","Weight in kilograms","610"
"Norway","2011","Fish; frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Export","4327","2524","Weight in kilograms","2524"
"Norway","2011","Fish; frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","19114","1575","Weight in kilograms","1575"
"Norway","2011","Fish; frozen, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","2612","147","Weight in kilograms","147"
"Norway","2011","Fish; frozen, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","3737","229","Weight in kilograms","229"
"Norway","2011","Fish; frozen, skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","1692","500","Weight in kilograms","500"
"Norway","2011","Fish; frozen, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","15079","239","Weight in kilograms","239"
"Norway","2011","Fish; frozen, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","3006","45","Weight in kilograms","45"
"Norway","2011","Fish; frozen, tuna, n.e.c. in item no. 0303.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","80573","2640","Weight in kilograms","2640"
