Norsk eksport av fisk totalt per marked;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 159 812 ; 12 926 759 ; 80,89 ; 917 166 ; 54 358 701 ; 59,27 ; 976 979 ; 45 372 366 ; 46,44 
EU27; 92 593 ; 7 971 305 ; 86,09 ; 479 990 ; 30 923 212 ; 64,42 ; 544 304 ; 26 336 690 ; 48,39 
Danmark; 18 383 ; 1 418 157 ; 77,14 ; 127 137 ; 5 011 974 ; 39,42 ; 135 821 ; 3 760 154 ; 27,68 
Polen; 15 599 ; 1 154 394 ; 74,00 ; 73 171 ; 4 975 884 ; 68,00 ; 75 380 ; 4 159 217 ; 55,18 
U S A; 8 564 ; 1 061 555 ; 123,95 ; 38 477 ; 4 679 131 ; 121,61 ; 38 780 ; 3 378 347 ; 87,11 
Frankrike; 9 459 ; 994 706 ; 105,16 ; 39 216 ; 3 792 379 ; 96,70 ; 43 313 ; 3 389 158 ; 78,25 
Nederland; 9 412 ; 819 132 ; 87,03 ; 42 764 ; 3 262 886 ; 76,30 ; 44 467 ; 2 804 607 ; 63,07 
Spania; 6 844 ; 707 807 ; 103,42 ; 30 035 ; 2 817 090 ; 93,79 ; 36 472 ; 2 505 229 ; 68,69 
Kina; 9 053 ; 657 317 ; 72,61 ; 44 059 ; 2 810 330 ; 63,79 ; 54 437 ; 2 256 124 ; 41,44 
Storbritannia; 8 481 ; 647 882 ; 76,39 ; 41 411 ; 2 788 319 ; 67,33 ; 42 238 ; 2 438 755 ; 57,74 
Italia; 5 243 ; 634 199 ; 120,97 ; 22 673 ; 2 593 407 ; 114,38 ; 25 476 ; 2 231 275 ; 87,58 
Sør-Korea; 3 419 ; 349 868 ; 102,34 ; 25 557 ; 1 676 254 ; 65,59 ; 25 561 ; 1 525 124 ; 59,67 
Tyskland; 4 643 ; 379 414 ; 81,72 ; 25 389 ; 1 597 263 ; 62,91 ; 27 039 ; 1 402 572 ; 51,87 
Sverige; 3 562 ; 359 653 ; 100,97 ; 17 397 ; 1 566 876 ; 90,07 ; 19 843 ; 1 458 415 ; 73,50 
Portugal; 6 872 ; 618 126 ; 89,95 ; 17 905 ; 1 543 090 ; 86,18 ; 21 313 ; 1 484 340 ; 69,64 
Japan; 2 555 ; 295 515 ; 115,65 ; 24 498 ; 1 429 225 ; 58,34 ; 22 825 ; 1 316 110 ; 57,66 
Litauen; 5 442 ; 293 110 ; 53,86 ; 28 706 ; 1 165 143 ; 40,59 ; 28 083 ; 1 042 497 ; 37,12 
Thailand; 2 940 ; 226 382 ; 77,00 ; 11 852 ; 951 113 ; 80,25 ; 14 790 ; 957 493 ; 64,74 
Ukraina; 2 443 ; 167 648 ; 68,63 ; 13 227 ; 721 189 ; 54,52 ; 11 954 ; 443 303 ; 37,08 
Vietnam; 3 529 ; 154 957 ; 43,91 ; 17 571 ; 670 845 ; 38,18 ; 15 283 ; 467 364 ; 30,58 
Tyrkia; 5 838 ; 160 628 ; 27,51 ; 22 063 ; 633 461 ; 28,71 ; 20 520 ; 393 246 ; 19,16 
Finland; 1 279 ; 148 000 ; 115,76 ; 6 497 ; 621 500 ; 95,66 ; 8 709 ; 652 318 ; 74,90 
Israel; 886 ; 110 598 ; 124,81 ; 5 358 ; 606 694 ; 113,24 ; 6 926 ; 655 626 ; 94,66 
Hong Kong; 1 012 ; 127 560 ; 126,04 ; 4 362 ; 526 331 ; 120,65 ; 3 542 ; 353 662 ; 99,86 
Taiwan; 1 457 ; 141 131 ; 96,85 ; 5 797 ; 490 207 ; 84,56 ; 8 704 ; 514 402 ; 59,10 
